strategy,timeframe,sharpe,return,trades,win_rate,max_dd,p_value,validated,error
Hammer/Shooting Star,D1,0.0,-2.5469339693849724,1,0.0,2.5469339693849724,1.0,False,
Harami,M15,-0.12423561752807383,-26.551830721113884,3506,33.37136337706789,88.38890912330587,0.3215785196241544,False,
Harami,H1,-0.06695994220187161,-4.281104062216964,886,35.89164785553047,51.558150928478966,0.4500846644149461,False,
Harami,H4,-0.8885558392256955,-13.978366996772765,243,34.5679012345679,27.79046805338271,0.19237754067797563,False,
Harami,D1,1.1008196097152119,3.6534664727632298,42,33.33333333333333,8.364049081581943,0.3296794970278873,False,
Head & Shoulders,M15,-0.9217781247379623,-78.04982028962262,1010,33.46534653465347,89.8137924893874,0.03270379117709019,False,
Head & Shoulders,H1,-1.43749683710772,-54.58794304082845,301,32.55813953488372,64.62340159940105,0.05891657955844249,False,
Head & Shoulders,H4,-4.9313043991040635,-49.574266084838364,81,25.925925925925924,50.87246612113536,0.0034015520586107772,False,
Head & Shoulders,D1,-12.49705948711512,-16.01497763490979,10,10.0,16.01497763490979,0.021240659180513988,False,
Morning/Evening Star,M15,1.2424738815791936,27.585897368013445,113,36.283185840707965,15.85400913508096,0.20462661886960104,False,
Morning/Evening Star,H1,-0.778708373517564,-2.575858591939268,23,34.78260869565217,12.524771605733367,0.410076307367623,False,
Morning/Evening Star,H4,5.366236544799648,4.2109380600335315,5,60.0,2.2455717663855648,0.2680312426771303,False,
Morning/Evening Star,D1,0.0,3.9883590971768537,1,100.0,0.0,1.0,False,
Three Soldiers/Crows,M15,-0.6911100162771723,-84.97692699596216,1862,38.721804511278194,86.97676444391325,0.03026145381560778,False,
Three Soldiers/Crows,H1,-0.10736111942775808,-10.451064375006444,509,40.47151277013752,54.07306925483078,0.4394530292891721,False,
Three Soldiers/Crows,H4,1.86901328574053,63.30638501402436,164,46.95121951219512,39.13064959327883,0.0673660683771382,False,
Three Soldiers/Crows,D1,1.7739159698137938,7.232006847529555,25,48.0,8.104102239949244,0.2945650581328978,False,
Triangle Breakout,M15,0.0,0.0,0,0.0,0.0,1.0,False,
Triangle Breakout,H1,0.0,0.0,0,0.0,0.0,1.0,False,
Triangle Breakout,H4,0.0,0.0,0,0.0,0.0,1.0,False,
Triangle Breakout,D1,0.0,0.0,0,0.0,0.0,1.0,False,
Tweezer Tops/Bottoms,M15,-0.46457768763217033,-82.82487200934047,2144,41.46455223880597,147.38149080171598,0.08781503946806395,False,
Tweezer Tops/Bottoms,H1,-0.7148360439177185,-38.608522444849925,596,40.77181208053691,51.19560632555512,0.1362347882045863,False,
Tweezer Tops/Bottoms,H4,-1.6407675445012961,-28.418536744943683,165,35.75757575757576,33.32731588474601,0.0937329816426445,False,
